no,latMyGps, longMyGps, latGps, longGps,dist
1,-6.97645,107.63114,-6.97647,107.63119,7
2,-6.97645,107.63133,-6.97646,107.63126,8
3,-6.97654,107.63139,-6.97654,107.63133,7
4,-6.97657,107.63116,-6.97656,107.6311,7
5,-6.97666,107.63116,-6.97664,107.63119,4
6,-6.97667,107.63101,-6.97668,107.63097,4
7,-6.97655,107.63087,-6.97657,107.63081,6
8,-6.97655,107.63064,-6.97663,107.63068,10
9,-6.97678,107.63065,-6.97677,107.63071,7
10,-6.97677,107.63094,-6.97681,107.63094,5
11,-6.97648,107.63093,-6.97651,107.6309,4
12,-6.97649,107.63062,-6.97645,107.63069,9
13,-6.97618,107.63061,-6.97625,107.63067,9
14,-6.97618,107.63084,-6.97622,107.63089,6
15,-6.97618,107.63109,-6.97618,107.63104,5
16,-6.97624,107.63107,-6.97627,107.631,8
17,-6.97636,107.63102,-6.97634,107.63102,3
