no,latMyGps,longMyGps,latKal,longKal,dist
1,-6.97645,107.63114,-6.97646,107.63115,2
2,-6.97645,107.63133,-6.97646,107.63131,3
3,-6.97654,107.63139,-6.97652,107.63135,3
4,-6.97657,107.63116,-6.97652,107.63116,5
5,-6.97666,107.63116,-6.97663,107.63114,3
6,-6.97667,107.63101,-6.97663,107.63114,6
7,-6.97655,107.63087,-6.97654,107.63082,6
8,-6.97655,107.63064,-6.97659,107.63068,6
9,-6.97678,107.63065,-6.97672,107.63069,7
10,-6.97677,107.63094,-6.97675,107.6309,5
11,-6.97648,107.63093,-6.97648,107.63097,3
12,-6.97649,107.63062,-6.97646,107.63071,12
13,-6.97618,107.63061,-6.97624,107.63063,6
14,-6.97618,107.63084,-6.97623,107.6308,7
15,-6.97618,107.63109,-6.97619,107.63099,11
16,-6.97624,107.63107,-6.97629,107.63101,8
17,-6.97636,107.63102,-6.97638,107.63106,4
