no,latMyGps,longMyGps,latGps,longGps,distGps,latNoKal,longNoKal,distNoKal,latKal,longKal,distKal
1,-6.97645,107.63114,-6.97647,107.63119,7,-6.97643,107.63123,9,-6.97646,107.63115,2
2,-6.97645,107.63133,-6.97646,107.63126,8,-6.9765,107.63141,10,-6.97646,107.63131,3
3,-6.97654,107.63139,-6.97654,107.63133,7,-6.97653,107.63122,18,-6.97652,107.63135,3
4,-6.97657,107.63116,-6.97656,107.6311,7,-6.97659,107.63111,7,-6.97652,107.63116,5
5,-6.97666,107.63116,-6.97664,107.63119,4,-6.97665,107.63122,7,-6.97663,107.63114,3
6,-6.97667,107.63101,-6.97668,107.63097,4,-6.97669,107.63106,7,-6.97663,107.63114,6
7,-6.97655,107.63087,-6.97657,107.63081,6,-6.97665,107.63091,11,-6.97654,107.63082,6
8,-6.97655,107.63064,-6.97663,107.63068,10,-6.97662,107.6306,9,-6.97659,107.63068,6
9,-6.97678,107.63065,-6.97677,107.63071,7,-6.97682,107.6306,6,-6.97672,107.63069,7
10,-6.97677,107.63094,-6.97681,107.63094,5,-6.97672,107.63087,9,-6.97675,107.6309,5
11,-6.97648,107.63093,-6.97651,107.6309,4,-6.97643,107.63096,5,-6.97648,107.63097,3
12,-6.97649,107.63062,-6.97645,107.63069,9,-6.97651,107.63069,16,-6.97646,107.63071,12
13,-6.97618,107.63061,-6.97625,107.63067,9,-6.97617,107.63071,9,-6.97624,107.63063,6
14,-6.97618,107.63084,-6.97622,107.63089,6,-6.9762,107.63095,13,-6.97623,107.6308,7
15,-6.97618,107.63109,-6.97618,107.63104,5,-6.9762,107.63095,14,-6.97619,107.63099,11
16,-6.97624,107.63107,-6.97627,107.631,8,-6.97626,107.63103,5,-6.97629,107.63101,8
17,-6.97636,107.63102,-6.97634,107.63102,3,-6.97636,107.63106,3,-6.97638,107.63106,4
