noNode,payload,visit,rssi
2,node0,1,-86
7,node0,1,-102
4,node0,1,-93
8,node0,2,-102
8,node0,2,-102
2,node0,2,-84
2,node0,3,-84
7,node0,3,-101
2,node0,3,-90
4,node0,3,-78
2,node0,4,-82
1,node0,4,-92
3,node0,4,-93
2,node0,4,-79
2,node0,5,-81
1,node0,5,-92
2,node0,5,-91
4,node0,6,-75
7,node0,6,-100
2,node0,6,-86
2,node0,6,-85
3,node0,6,-93
7,node0,7,-104
3,node0,7,-104
6,node0,7,-89
2,node0,7,-87
2,node0,7,-80
2,node0,8,-80
1,node0,8,-92
2,node0,8,-83
2,node0,8,-84
1,node0,8,-93
2,node0,8,-81
4,node0,9,-77
7,node0,10,-109
7,node0,10,-101
2,node0,10,-79
7,node0,10,-98
1,node0,10,-92
7,node0,10,-101
6,node0,11,-95
4,node0,11,-87
6,node0,11,-97
2,node0,11,-78
2,node0,11,-79
7,node0,11,-98
6,node0,11,-100
6,node0,11,-104
8,node0,12,-102
7,node0,12,-100
8,node0,12,-92
4,node0,12,-84
1,node0,12,-96
8,node0,12,-105
2,node0,12,-89
7,node0,13,-101
2,node0,13,-93
2,node0,13,-91
6,node0,13,-80
1,node0,13,-95
4,node0,13,-99
2,node0,13,-99
7,node0,14,-108
2,node0,14,-99
2,node0,14,-97
4,node0,14,-91
4,node0,14,-97
4,node0,14,-88
2,node0,14,-98
2,node0,14,-100
4,node0,15,-81
1,node0,15,-100
2,node0,15,-101
4,node0,15,-87
2,node0,15,-93
4,node0,15,-89
2,node0,15,-94
2,node0,15,-100
2,node0,16,-93
6,node0,16,-81
2,node0,16,-95
4,node0,16,-89
4,node0,16,-91
2,node0,16,-96
7,node0,16,-109
2,node0,16,-89
6,node0,17,-84
2,node0,17,-86
4,node0,17,-86
4,node0,17,-93
1,node0,17,-92
1,node0,17,-101
6,node0,17,-81
6,node0,17,-92
4,node0,17,-104
2,node0,17,-99
4,node0,17,-95
2,node0,17,-98
3,node0,17,-79
2,node0,18,-101
1,node0,18,-106
2,node0,18,-92
2,node0,18,-97
4,node0,18,-93
2,node0,18,-101
2,node0,18,-89
7,node0,18,-116
2,node0,18,-99
2,node0,19,-100
1,node0,19,-98
2,node0,19,-108
7,node0,19,-113
6,node0,19,-91
1,node0,19,-113
2,node0,19,-108
2,node0,19,-106
4,node0,20,-99
6,node0,20,-101
7,node0,20,-114
1,node0,20,-107
2,node0,20,-109
6,node0,20,-90
